note_id,content
5148835673276846,#李在明二审被判无罪#当地时间今天（3月26日）下午，韩国首尔高等法院对韩国最大在野党共同民主党党首李在明涉嫌违反韩国《公职选举法》案件作出二审裁决，推翻一审判决，判定李在明无罪。2024年11月15日，韩国首尔中央地方法院作出一审判决，李在明违反《公职选举法》罪名成立，对其判处有期徒刑一年 ...全文
5148831486317943,새날真的太左了，李在明敬称李代表，尹大统领平称尹锡悦，李在明二审无罪欢天喜地高呼万岁，听一听还蛮有意思的。 
5148826131238043,李再明二審被判無罪 那麽接下來尹錫悅的彈劾案怎麼判就成了關鍵了 
5148816765883325,李在明被判无罪后表示，尹锡悦政府浪费了这么多精力来证明这些显而易见的事情，这真的很荒谬。如果检方和尹锡悦政府能把为了抓捕李在明而花在伪造证据、捏造案件上的精力，用来防治山火和改善民生，那世界得有多美好啊。此时此刻，韩国山火还在蔓延，有人正在死去，经济已经被毁。我希望检察官们现在能 ...全文
5148811253779620,发布了头条文章：《李在明违选案二审无罪，审案法官有何来历？尹锡悦境况更加困难》  李在明违选案二审无罪，审案法官有何来历？尹锡悦境况更加困难 
5148794639354524,发布了头条文章：《解码韩国宪政危机背后的“弹劾悬案”与生死博弈》 解码韩国宪政危机背后的“弹劾悬案”与生死博弈 
5148767263133578,从菠菜网站数据来看，尹锡悦总统前景非常的不妙啊。前面也说过前面的数据仅仅是表明其弹劾案4月前不会发布，并不代表他就能复职。从目前5月、6月的概率来看，被弹劾依然是极大概率事件。只是什么时候公布存在悬念。 
5148790585295777,【#李在明案法庭援引无罪原则，尹锡悦亦因同一逻辑获释#】网页链接 共同民主党党首李在明在涉嫌违反公职选举法案的2审中被判无罪。距离去年11月15日1审被判处剥夺10年选举权、1年有期徒刑、缓期2年执行已过去131天，至此他迎来了“重生”。#李在明##重生#提前大选# 
5148788400063163,3月26日 韩国尹锡悦被弹劾，李在明二审改判无罪 美国·美国 洛杉矶 
5148785357357501,#李在明二审无罪#【二审无罪！李在明暂过关，恐还不能高枕无忧】在韩国总统尹锡悦弹劾案结果尚未公布前，他的最大竞争对手、最大在野党共同民主党党首李在明先迎来“生死关”的考验。  据央视新闻报道，当地时间3月26日，韩国首尔高等法院对最大在野党共同民主党党首李在明涉嫌违反《公职选举法》一案 ...全文
5148782879311229,#李在明二审无罪#判决已作废，李在明离开法庭，临走前送出12个字，尹锡悦金建希走向末路#李在明##尹锡悦弹劾案# 种花知兴衰的微博视频 
5148762940641187,我之前还笑话尹锡悦戒严计划在麦当劳还是肯德基里面开会来着...
5148758033044530,李在明被判无罪后，前往避难所跪地慰问山火灾民，有人高喊“尹锡悦在干嘛”！来源.环球网 环际军事的微博视频 
5148667322303005,上诉法院宣告李在明无罪，为他参选铺平了道路 首尔高等法院，周三，裁定：主要反对党领袖李在明违反选举法罪名不成立。 推翻了下级法院的判决，为其竞选总统扫清了一个障碍。 案情：10亿美元房地产开发丑闻——李在明在担任城南市市长期间，涉及的一个土地开发项目。这个案子引发了对他的一系列审判， ...全文
5148751933735336,发布了文章《搞钱、爆金币与青瓦台魔咒：后尹锡悦时代的韩国权力格局解析 》 阅读全文 网页链接  在韩国这个总统高风险职业国度，搞不好经济，就意味着走向清算。 本篇重磅政局分析文章从“青瓦台魔咒”切入，深度拆解历任总统为何几乎无一善终，从李明博的“搞钱政治”，到尹锡悦的外交失 ...全文
5148747748611442,我真要报警了。 
5148745378039065,#尹锡悦#李在明二审推翻一审，终被判无罪，韩国最大在野党党首… 网页链接 
5148741054237546,李在明二审被判无罪，尹锡悦的香槟喝早了 - 作者：毛开云，网页链接 （想看更多？下载 @知乎 App：知乎 ） 
5148730684867565,韩国，其半导体出口40%依赖中国市场，现代汽车在华销量却因创新不足和中国老百姓厌恶尹锡悦因素暴跌80%以上，现在份额不到1%；同样的，三星手机份额从20%跌至不足1%。首尔经济研究所警告：&quot;若失去中国，韩国半导体和汽车产业将失去技术升级的资金来源，沦为代工厂。&quot; 
5148729776019350,【RT专家解读：#韩国政局持续动荡#】韩国反对派正对政府施加巨大压力，力求宪法法院最终确认国会对尹锡悦的弹劾决议。在法院作出裁决之前，国家政权仍处于悬而未决的状态。同时，反对派不断发起新的弹劾案和不信任投票，试图进一步削弱政府的运作能力。  那么，目前究竟是谁在掌控韩国局势？俄罗斯知名 ...全文
5148458853598336,首尔高等法院被李在明搞定了，前面抓尹锡悦就是它下的令，现在推翻一审判李在明无罪又是它。随着川美的各种作，恐怕韩国社会的亲北友X派系，会在韩逐渐占上风了。
5148606840702673,#罗爷睿评##v光计划##v评智库# 据韩联社报道称，韩国首尔高等法院26日对最大在野党共同民主党党首李在明涉嫌违反《公职选举法》案作出二审判决，推翻一审判决结果，李在明被判无罪！ 罗爷说法罗鸿：正义终究是会不缺席的！李在明的无罪判决，就代表着尹锡悦下台进入倒计时！ ...全文
5148592592131302,文在寅父女同时被查，尹锡悦有可能逃出生天，韩国内乱会加剧吗？ 照理说事的微博视频 
5148571158447423,【李在明大反转！尹锡悦等判决！不是冤家不聚头，韩国内斗会怎样？】#专家解析李在明无罪对韩国有何影响# 26日下午，韩国首尔高等法院二审宣判，认定最大在野党党首李在明无罪。政治生命起死回生的李在明何许人也？为何说他和等待判决的总统尹锡悦形成鲜明对比？不是冤家不聚头，韩国内斗又会怎样演变 ...全文
5148565971934100,#李在明二审无罪#  当地时间3月26日下午14点，韩国首尔高等法院对共同民主党党首李在明涉嫌违反《公职选举法》案做出二审宣判，推翻一审一年监禁两年缓刑的判决，判定李在明无罪。   法院在判决书中指出，李在明做出的“在担任京畿道城南市长时期不认识前城南城市开发公社第一处长金文基”等相关发言以 ...全文
5148561525969836,发布了头条文章：《李在明二审无罪，能否“王者归来”？》  李在明二审无罪，能否“王者归来”？ 
5148560824735232,原来不是钢铁膝盖骨啊 
5148556681289093,发布了头条文章：《青瓦台魔咒再现，从朴槿惠到尹锡悦的韩国弹劾困局》 青瓦台魔咒再现，从朴槿惠到尹锡悦的韩国弹劾困局 
5148550721438944,《获释后回到总统官邸，尹锡悦哽咽称“在拘留所学到了很多”》阅读量：16.8万 点赞量：759网页链接 
5148464708324946,宣判了！当地时间3月26日，韩国首尔高等法院对李在明涉嫌违反《公职选举法》案作出二审宣判，判定李在明无罪。就看尹锡悦怎么判了？ 
5148460572477801,快讯：李在明二审改判无罪 #李在明二审无罪#  2024年11月15日，韩国首尔中央地方法院作出一审判决，李在明违反《公职选举法》罪名成立，对其判处有期徒刑一年、缓刑两年。二审以后检方还有机会，可以继续上诉至韩国最高法院大法院，但尹锡悦弹劾案宣判在即，弹劾之后60天就要选总统，所以如果动作不够 ...全文
5148512648171733,#李在明二审被判无罪#当地时间今天（3月26日）下午，韩国首尔高等法院对韩国最大在野党共同民主党党首李在明涉嫌违反韩国《公职选举法》案件作出二审裁决，推翻一审判决，判定李在明无罪。#李在明对二审判决结果表示感谢#宣判后，李在明对这一判决结果表示感谢。李在明身负案件的审理和尹锡悦弹劾案的 ...全文
5148409065635857,韩国这些故事里总有戏剧化的阴谋，真的非常诡异。 其他地方的事情，霸凌也好，性犯罪也好，都是阳谋。 发现金赛纶生前其实在过一种十面埋伏的生活，就像发现尹锡悦完全复刻电视剧里的间谍绑架情节一样，感觉一点也不现实。
5148496990573308,【#李在明可以竞选韩国总统了#】据韩联社报道，当地时间3月26日，韩国首尔高等法院对韩最大在野党共同民主党党首李在明涉嫌违反《公职选举法》案作出二审宣判，推翻一审判决，判定李在明无罪。  路透社指出，这一判决消除了李在明竞选总统的障碍。韩《中央日报》也指出，这对李在明来说是“起死回生” ...全文
5148507128468413,李在明：如果弹劾尹锡悦失败 国家将会灭亡！#热门视频# 君有恙否·的微博视频 
