id,user_id,nickname,avatar,gender,profile_url,ip_location,add_ts,last_modify_ts,note_id,content,create_time,create_date_time,liked_count,comments_count,shared_count,note_url,source_keyword
11,5336533996,世面,"https://tvax4.sinaimg.cn/crop.0.0.1000.1000.180/005P9ygYly1h8vgnwikx2j30rs0rsgn3.jpg?KID=imgbed,tva&Expires=1743091772&ssig=uU0c9wFcSC",m,https://m.weibo.cn/u/5336533996?,,1743079651562,1743080973230,5146271191402823,【#韩女议员呼吁弹劾尹锡悦被砸鸡蛋#】3月20日，韩国最大在野党共同民主党举行记者会呼吁弹劾尹锡悦时，一议员遭鸡蛋袭击。约10名共同民主党院内副代表团议员高喊“立即弹劾尹锡悦”等口号，还要求解散“叛乱余党”，即韩国执政党国民力量党。期间有疑似尹锡悦支持者投掷2枚生鸡蛋，其中1枚砸中议员白 ...全文,1742478928,2025-03-20 13:55:28+08:00,1492,115,33,https://m.weibo.cn/detail/5146271191402823,尹锡悦
12,1656831930,总台环球资讯,"https://tvax2.sinaimg.cn/crop.227.227.568.568.180/001O7TFEly8h8wl0ugxtxj60sg0sg3zq02.jpg?KID=imgbed,tva&Expires=1743091772&ssig=framqVwr33",m,https://m.weibo.cn/u/1656831930?,,1743079651565,1743080973233,5141971938579979,#尹锡悦将返回总统官邸#【现场视频：#尹锡悦走出拘留所#】当地时间3月8日，韩国总统尹锡悦被释放，离开首尔拘留所，前往位于首尔汉南洞的总统官邸。尹锡悦在首尔拘留所附近再次下车向支持者致谢。自2025年1月15日尹锡悦被逮捕至今日上午，已满52天。#尹锡悦被捕52天后获释#网页链接  ...全文,1741453906,2025-03-08 17:11:46+08:00,1995,276,150,https://m.weibo.cn/detail/5141971938579979,尹锡悦
13,5449085277,羊又走丢了,"https://tvax1.sinaimg.cn/crop.0.0.1080.1080.180/005WLO0dgy1hyjo8lczhoj30u00u0dio.jpg?KID=imgbed,tva&Expires=1743091772&ssig=qpGmdzPqbK",m,https://m.weibo.cn/u/5449085277?,广西,1743079651568,1743080973214,5148160537137470,#文在寅父女双双被检方调查#  真没想到文在寅都难以幸免！这位开创了“韩朝最好关系”的人，都被尹锡悦拉下了水，韩国政坛真的是宇宙第一奇葩。。。 羊又走丢了的微博视频 ,1742929383,2025-03-25 19:03:03+08:00,148,16,24,https://m.weibo.cn/detail/5148160537137470,尹锡悦
14,5393135816,寰亚SYHP,"https://tvax3.sinaimg.cn/crop.0.0.995.995.180/005SZ2Zyly8h8ux90e7h7j30rn0rn76s.jpg?KID=imgbed,tva&Expires=1743091772&ssig=F2ms1dy%2F25",m,https://m.weibo.cn/u/5393135816?,广东,1743079651570,1743080973237,5141986152812628,#尹锡悦被释放# 今天下午，韩国总统尹锡悦被释放，离开首尔拘留所，从车上走下来向支持者致敬。#尹锡悦被捕52天后获释# 寰亚SYHP的微博视频 ,1741457295,2025-03-08 18:08:15+08:00,200,41,22,https://m.weibo.cn/detail/5141986152812628,尹锡悦
15,1632155184,林中白狼,"https://tva3.sinaimg.cn/crop.77.4.402.402.180/6148b630jw1eos3i2qxxaj20fe0bdt9s.jpg?KID=imgbed,tva&Expires=1743091772&ssig=RzakgQklvQ",m,https://m.weibo.cn/u/1632155184?,北京,1743079651573,1743080986820,5148763246823689,不儿，思密达连这都能扯上中国？！ ,1743073080,2025-03-27 10:58:00+08:00,85,12,1,https://m.weibo.cn/detail/5148763246823689,尹锡悦
16,7915123398,枫林明远,"https://tvax4.sinaimg.cn/crop.0.0.1080.1080.180/008DF3aCly8honvr3v1gkj30u00u0qe1.jpg?KID=imgbed,tva&Expires=1743091772&ssig=vvhABOsCDP",m,https://m.weibo.cn/u/7915123398?,安徽,1743079675478,1743080986823,5148881537208817,发布了头条文章：《俄指责乌违反停火协议，美国中央情报局局长认为俄乌均无意停火》  俄指责乌违反停火协议，美国中央情报局局长认为俄乌均无意停火 ,1743101283,2025-03-27 18:48:03+08:00,0,0,0,https://m.weibo.cn/detail/5148881537208817,尹锡悦
17,3939426052,地瓜熊老六,"https://tvax2.sinaimg.cn/crop.0.40.649.649.180/eacedf04ly8geb0ltyihbj20j60j60tm.jpg?KID=imgbed,tva&Expires=1743091772&ssig=nrQFTQ0RTm",m,https://m.weibo.cn/u/3939426052?,辽宁,1743079675481,1743080986826,5148466729190825,#李在明二审无罪#现在就等尹锡悦了，如果尹锡悦被判有罪，李在明就是下一任韩国总统。如果尹锡悦被判无罪，李在明可以接着弹劾尹锡悦。 ,1743002385,2025-03-26 15:19:45+08:00,84,8,1,https://m.weibo.cn/detail/5148466729190825,尹锡悦
18,7922274727,兔子窝327,"https://tvax3.sinaimg.cn/crop.0.0.750.750.180/008E93yDly8hvdtnb83sxj30ku0kumyb.jpg?KID=imgbed,tva&Expires=1743091772&ssig=%2BP4GCHSDoC",m,https://m.weibo.cn/u/7922274727?,广东,1743079675484,1743080986831,5148857518001741,李在明二审无罪，尹卡卡414初审，神奇的偷国，神奇的韩剧。 ,1743095556,2025-03-27 17:12:36+08:00,19,1,2,https://m.weibo.cn/detail/5148857518001741,尹锡悦
19,6348617709,iYves_,"https://tvax1.sinaimg.cn/crop.0.0.512.512.180/006VE9tPly8hkw4hpcx36j30e80e8q3i.jpg?KID=imgbed,tva&Expires=1743091772&ssig=zfzpWl0RMk",f,https://m.weibo.cn/u/6348617709?,云南,1743079675486,1743080986834,5148869663919116,突然发现Yves每次去巡演hg都会发生一些大事 美巡是空难 欧巡是弹劾尹锡悦 拉美巡是山火🤔 ,1743098452,2025-03-27 18:00:52+08:00,2,1,0,https://m.weibo.cn/detail/5148869663919116,尹锡悦
20,7021145705,燕梳楼的楼,"https://tvax2.sinaimg.cn/crop.0.0.600.600.180/007Fa0Jzly8hi9t1ibajkj30go0gojuv.jpg?KID=imgbed,tva&Expires=1743091772&ssig=IBMXwXpYH1",m,https://m.weibo.cn/u/7021145705?,河南,1743079675489,1743080986837,5148869047092070,#李在明二审无罪# 韩国政坛在经历一系列混乱风波之后，终于进入收尾阶段，总统之位的归属，也基本没有了悬念。近期有两个标志性事件值得注意，一个是第一夫人金建希确认被立案调查，另一个则是李在明二审被判无罪。  先说第一件事，随着金建希被调查，也基本宣告了尹锡悦的政治生涯终结。早先由于黑料 ...全文,1743098305,2025-03-27 17:58:25+08:00,4,2,1,https://m.weibo.cn/detail/5148869047092070,尹锡悦
